id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
642,"Audrey, Margaret, Jane, Clair and Sherk Sewer Separation Program",Planning,2024-01-01,,0,42.03691,-82.60664,Communities,Infrastructure,Leamington,"The project will rehabilitate aging stormwater and sewer systems along Audrey, Margaret, Jane, Clair and Sherk streets in Leamington. The work will involve replacing approximately 1.2 kilometres of combined sewers with separate storm and sanitary sewers complete with new service connections from the main to property lines. Existing roadway, curbing, catchbasins, and signage will be replaced.  Sidewalk and lighting costs are planned to be enhanced by the Municipality of Leamington and are not eligible for reimbursement.",,Essex,Southwest,111 Erie Street/Rue North/Nord,N8H2Z9,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
708,Upgrading/Relocation of Wastewater Lagoon,Planning,2023-01-01,,0,48.057298,-80.626111,Communities,Infrastructure,Matachewan First Nation,"The Project will relocate and replace the wastewater lagoon in the Matachewan First Nation.  The work will involve an investigation of and decommissioning the current structure and building a replacement lagoon on a new site, which will include an upgraded liner, road access and installation of a new overflow mechanism, outlet pipe and pump.",,,Northeast,1 Baden Rd.,P0K1M0,Yes,Yes,Yes,,
720,Lemieux Street Sanitary Sewer Rehabilitation,Planning,2023-01-01,,0,49.610094,-83.257544,Communities,Infrastructure,Mattice-Val Côté,"This project is for the replacement of a damaged sanitary sewer in the Ontario Northland railway bed and crossing above Five Mile Creek on Lemieux Street  in Mattice-Val Côté.The work includes replacing the existing sanitary sewer with a wider pipe, connecting it to an existing manhole and installing heat cables and pipe insulation; and flattening the slopes of the railway bed to stabilize the sanitary sewer with vibration and settlement monitoring installed.",,Cochrane,Northeast,"500, Highway 11 East",P0L1T0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
726,Virginiatown Collection and Distribution Upgrades,Planning,2024-01-01,,0,48.133797,-79.583755,Communities,Infrastructure,McGarry,"The Project will improve the drinking water distribution and wastewater collection systems in Virginiatown.The work will involve replacing approximately 650 metres of water main, approximately 650 metres of sewer pipe, fire hydrants, valves, manholes and associated equipment. In addition, storm water connections along Connell Avenue will be investigated and upgraded or repaired, as required, and approximately three (3) kilometres of sewer pipe will be assessed.",,Timiskaming,Northeast,27 Webster Street/Rue,P0K1X0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
740,Rehabilitation of Minden Hills Community Facilities for Accessibility,Planning,2024-01-01,,0,44.92724,-78.72748,Communities,Infrastructure,Minden Hills,"Meet community and user needs - Supporting access to public facilities to persons of all abilitiesPromote good asset management planning - retrofit of existing facilities to extend life and improve health and safety  Represents good value for money - serving upwards of 20% of population, procurement by tendering.Fosters greater accessibility - bring up to current OBC standards and meet AODA 2025 requirementsThe scope of the project is to rehabilitate/renovate/replace the entrance accessible ramps and doorways to two Community Centres ,one recreation facility and 1 cultural centre to meet current Ontario Building Code standards and to become compliant with the AODA 2025 requirements for municipalities.Minden Library/Cultural Centre – Located in one building, with multiple entrances. The existing retaining wall, stairs, ramps, and platforms around the Library and Cultural building are showing the effects of the shifting soils beneath them. Guardrails and handrails on top of the retaining walls and along stairs and ramps are rusting heavily and are in need of replacement.  The sidewalk to Cultural building has subsided enough that there is no wheelchair access to be had.  Lochlin Community Centre - Accessibility Upgrades - Ramp replacement, auto door operator.Irondale Community Centre  - Accessibility Upgrades - Ramp replacement, auto dooroperator.Minden Curling Club Building - Elevator / Lift: propose an elevator and air lock addition at the front of the building, taking advantage of the existing canopy.","These improvements will provide the associated communities with safer and more accessible entrances to community spaces, meeting current Ontario Building Code standards, while extending the life of these facilities.",Haliburton,East,7 Milne Street/Rue,K0M2K0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario
744,New Osnaburgh Water Treatment Plant Upgrades,Planning,2025-01-01,,0,51.065,-90.273,Communities,Infrastructure,Mishkeegogamang First Nation,"The Project will expand and rehabilitate the water treatment plant in the Mishkeegogamang First Nation. The work will involve: constructing a new, below-grade storage reservoir; expanding and upgrading the water treatment plant building including better ventilation and spill containment areas; installing a new water treatment unit; rehabilitating disinfection treatment processes (UV and chlorination); installing a new, fixed back-up generator; adding three fire hydrants to the distribution network; adding settling tanks; installing a monitoring system (PLC/SCADA) and decommissioning unused equipment.",,,Northwest,1359 Anderson Rd,P9N4J8,Yes,Yes,Yes,,
756,Reconstruction of South Common Community Centre and Library,Planning,2027-03-01,,0,,,Communities,Infrastructure,Mississauga,"Reconstruct the South Common Community Centre and Library to improve access and quality of community infrastructure;Improve the indoor aquatic centre, including renewal of the pool deck and basin,  mechanical components and change rooms;Modernize and expand the fitness centre to provide a level of service consistent with other City operated club-format fitness centres;Integrate an indoor walking track; andIncrease the undersized gymnasium to a full size gymnasium dimensionProject scope includes demolition of existing structure, detailed design, and reconfiguration of the site for a building replacement that can include: Expanded club-format, equipment-based fitness centre;Indoor aquatics centre with therapeutic tank, and ancillary spaces; Indoor walking track;Full size gymnasium;Full size library (16,000 sf);Site development to include for outdoor activities; and Sufficient and accessible parking requirements, including pedestrian walkwaysThis project will position the South Common Community Centre and Library to meet the needs of the community over the 25 year outlook. With a high visible minority penetration rate of 63%, and a median after-tax household income level of $51,229, design and programing will ensure this populations needs are met. Additionally, accessibility will be enhanced with a one level design, and increases in program hours (46%), courses (42%), facility rentals (25%) and foot traffic (11%) are anticipated.",,Peel,Central,300 City Centre Drive,L5B3C1,Yes,Yes,,,https://www.news.ontario.ca/en/release/1000441/ontario-investing-over-45-million-to-reconstruct-the-south-common-community-centre-and-library-in-mississauga
780,Bayshore Road Wastewater Pumping Station Upgrade,Under construction,2023-01-01,,0,44.182865,-77.072507,Communities,Infrastructure,Mohawks of the Bay of Quinte First Nation,"The Project is for the upgrade of the Bayshore Road Wastewater Pumping Station located in the Mohawks of the Bay of Quinte First Nation. The work includes the installation of equalization tanks and variable frequency drives on existing pumps, and the replacement of two wastewater pumps, approximately 39 metres of pipes, valves, bases, rails, the motor control panel, generator and an automatic transfer switch. Mechanical and electrical systems will also be upgraded.",Provide efficient and reliable wastewater pumping to accommodate peak sewage flows.,,East,24 Meadow Drive,K0K1X0,Yes,Yes,Yes,,
792,"Second Street and Bay Road Sanitary Sewer, Watermain, and Storm Drainage Reconstruction",Planning,2023-01-01,,0,51.272426,-80.639192,Communities,Infrastructure,Moosonee,"This project is for the reconstruction of the sanitary sewer, watermain and storm drainage on Second Street (from Revillion Road to Bay Road) and Bay Road (from First Street to approximately 40m past the intersection of Second Street) in the Town of Moosonee. The work includes the replacement of approximately 795 meters of sanitary sewer and 7 manholes; approximately 17 sanitary services; the replacement of approximately 560 meters of watermain along with hydrants and valves; and the improvement of storm drainage with approximately 1,100 meters of roadside ditching, culvert installation, and stormwater inlet adjustments.",,Cochrane,Northeast,5 First Street/Rue,P0L1Y0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
810,Wastewater Plant Replacement,Planning,2024-01-01,,0,49.40944,-93.9536,Communities,Infrastructure,Naotkamegwanning First Nation,"The Project will replace and decommission an aging wastewater treatment facility with a new mechanical treatment plant in the Naotkamegwanning First Nation. The scope will involve the design and construction of a new wastewater facility that encompasses primary, secondary, and tertiary treatment with key components including headworks, primary clarifiers, a rotating biological contractor or moving bed biofilm reactor, ultraviolet disinfection, aerated sludge digestion or biological sludge conditioning, sludge dewatering, a new effluent outfall and diffuser, and ventilation upgrades. A back-up generator will be added or relocated to support the plant and existing lift stations.",,,Northwest,1800 Pawitik St,P0X1L0,Yes,Yes,Yes,,
856,Rehabilitation of Nibinamik Lagoon Sewage Treatment Lagoon and Collection Systems,Planning,2023-01-01,,0,52.791496,-88.456498,Communities,Infrastructure,Nibinamik First Nation,"The project will repair and replace components of a sewage lagoon and purchase a septictruck in Nibinamik First Nation. The work will include re-excavating and repairing 30manholes and covers, flushing outflow lines, removing and replacing two pressure reliefvalves, repairing damaged sections of the lagoon and buying a septic truck. The repairs tothe lagoon will include removal, replacement and repair of geomembrane areas, placingearth material above the liner for counter pressure and increasing the embankment height,and embankment repair work including excavation, removal and replacement of disturbedmaterial.",,,Northwest,General Delivery,P0T3B0,Yes,Yes,Yes,Yes,
859,Peat Moss System Rehabilitation,Under construction,2023-01-01,,63001,48.747069,-92.938378,Communities,Infrastructure,Nigigoonsiminikaaning First Nation,Repair the peat moss septic treatment systems for 3-4 houses.,Improved wastewater treatment and reduced contamination to receiving water bodies.,Rainy River,Northwest,,,,Yes,Yes,Yes,
861,Communal Wastewater Collection and Treatment Rehabilitation,Planning,2026-08-01,,0,49.9048,-94.543192,Communities,Infrastructure,Niisaachewan Anishinaabe Nation,"The project will rehabilitate the wastewater collection and treatment system in the Niisaachewan Anishinaabe Nation. The work will rehabilitate two lagoon cells by diverting the influent to the lagoons then cleaning, inspecting and repairing the lagoons as necessary including removal of fauna, sludge and other debris, replacing the lagoon liners, repairing the lagoon berms, and replacing valves and piping between the cells. Two wastewater sewage pumping stations will be cleaned, inspected for required repairs and upgraded including the replacement of four sewage pumps, wastewater pump vaults, flow meter, control systems and electrical panels. In addition, approximately 500 metres of road leading to the wastewater lagoon will be reconstructed.",,,Northwest,22 Band Office Road,P9N0J2,Yes,Yes,Yes,,
868,VLA Water Plant Replacement,Planning,2026-11-01,,0,46.364883,-79.881893,Communities,Infrastructure,Nipissing First Nation,"The Project is for the the construction of a replacement water treatment plant in the Nipissing First Nation. The work includes the drilling, pump testing, sampling and analysis of a new back-up well, the pump testing, sampling and analysis of the existing supply well, new pumps for each well, and pressure tanks to maintain system pressures. The treatment plant will include a separate chlorination room with secondary containment and independent ventilation, and a new treatment process with cartridge filtration, softening, ion exchange systems, UV disinfection and chlorination, analyzers for turbidity, chlorine and UV, and will ensure appropriate facilities for chlorination, containment, ventilation, connection to the water system, a chlorine contact pipe, and completion of the associated parking area.",,,Northeast,36 SEMO RD,P2B3K2,Yes,Yes,Yes,,
883,Wingham Standpipe Replacement,Planning,2024-01-01,,0,43.883634,-81.306086,Communities,Infrastructure,North Huron,"The Project is for the decommissioning of the current standpipe and constructing a new standpipe in Wingham. The work will include increased capacity, updated electrical, mechanical systems and buried infrastructure related to the standpipe, and a booster pumping station to be constructed at the same location to improve pumping capabilities, pressure, and provide redundancies. Emergency backup power will also be enhanced to provide increased safety measures.",,Huron,Southwest,274 Josephine Street/Rue,N0G2W0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
905,NWA #33 Dogpaw Water Treatment Plant Upgrades Project,Planning,2024-01-01,,0,49.234799,-93.564301,Communities,Infrastructure,Northwest Angle #33 First Nation,"The Project will rehabilitate and upgrade the existing water treatment facility in the Northwest Angle #33 First Nation. The work involves constructing an addition next to the existing water plant with a new below ground reservoir,  fire pumps and 2 new treatment skids.  The existing SCADA system, chemical feed system, and genset will be repaired or replaced and there will be minor upgrades to the existing office, washroom, and chemical room. Electrical upgrades will be conducted as required. The existing intake system will be reviewed to determine if it is suitable for future use. The project will include the commissioning of the new equipment and decommissioning of the existing equipment.",,,Northwest,General Delivery-Box 1490,P9N3X7,Yes,Yes,Yes,,
914,Replace Existing Distribution Water Main at West End WTP and Upgrade 10 Residential Septic Fields,Planning,2024-01-01,,0,49.709837,-94.60089,Communities,Infrastructure,Obashkaandagaang First Nation,"The project will upgrade potable water distribution and rehabilitate ten failed septic fields in the Obashkaandagaang First Nation. The work involves replacing approximately 1,200 metres of water main with wider piping and installing approximately 800 metres of water service lines. Curb stop valves, fire hydrants and services lines will be removed, replaced, added or upgraded as required, restoring the functionality of ten septic fields. The existing distribution watermain and services lines will be removed and disposed of and temporary water services provided to all affected individuals during the project.",,,Northwest,Box 625,P0X1C0,Yes,Yes,Yes,,
917,Ojibway Nation of Saugeen Well Upgrades,Planning,2023-01-01,,0,50.5,-90.76,Communities,Infrastructure,Ojibway Nation of Saugeen First Nation,"The Project is for the improvement of safe, reliable potable water in the Ojibway Nation of Saugeen First Nation. The work will involve inspecting approximately 38 wells, installing point-of-entry or point-of-use systems for each residential well, upgrading existing point-of-entry systems for non-residential wells, commissioning a multiplex well, the installation/completion of a point-of-entry or point-of-use system for the multiplex well, and the repair of non-operational or damaged equipment.",,,Northwest,91 sapay street,P0V2S0,Yes,Yes,Yes,,
919,Rehabilitation of Hydrants,Planning,2023-01-01,,4680,49.11104,-93.92618,Communities,Infrastructure,Ojibways of Onigaming First Nation,Repair damaged hydrants in the community.,Improved reliability of the water system.,,Northwest,,,,Yes,Yes,Yes,
920,Ojibways of Onigaming Water Treatment Plant Upgrades,Planning,2023-01-01,,0,49.18254,-93.927217,Communities,Infrastructure,Ojibways of Onigaming First Nation,"The project will rehabilitate and modernize the water treatment plant in the Ojibways of the Onigaming First Nation. The work will include upgrading the ozone pre-treatment system, replacing filters, identifying and repairing leaks, splitting the pumping chamber for cleaning/maintenance and adding backwash capability to support better maintenance, upgrading the plant’s computer control system, rehabilitating the fixed diesel generator cooling system, acquiring replacement parts for the plant’s chlorine water treatment system and additional sampling.",,,Northwest,703 Ketemiikana Rd,P0X1K0,Yes,Yes,Yes,,
923,Pic River Water Treatment Plant Replacement,Planning,2024-01-01,,0,48.614086,-86.28602,Communities,Infrastructure,Ojibways of the Pic River First Nation,"The Project will decommission the existing water treatment plant (WTP) and construct a new WTP in Biigtigong Nishnaabeg First Nation. The work will involve constructing a WTP building, an infiltration gallery, a low lift station complete with wet well and low lift pump chamber, and a below-grade reservoir. In addition, a new conventional treatment system, PLC/SCADA system, high lift pumps, fire pumps, a new backup generator and a new septic system will be installed along with necessary pipes and mechanical and electrical work.",Deliver high-quality water and better fire protection for community residents.,,Northwest,78 Pic River Road,P0T1R0,Yes,Yes,Yes,,
984,"Renovation and Rehabilitation of Bronson Centre Community, Culture and Recreation Hub",Planning,2025-01-01,,0,45.413349,-75.706778,Communities,Infrastructure,Ottawa,"Financially sustainable response to demand from low income and culturally diverse communities for access to affordable, not for profit space and services in downtown Ottawa,Improve access to the centre through rehabilitation of main, rear, and side entrance-ways and related façade stoneworkImprove quality of experience, functionality, creative use, improved accessibility of our day use studios for clienteleReduced operating costs of our 45,000 sq ft facility based on our maintenance planImprove functionality, accessibility by replacing 30-40 year old entranceway doors with auto-openers, crash bars, and environmental efficienciesImprove quality of experience and cost efficiencies by replacing 75%+ (210 units) “critical-issue” windows with high efficiency, thermal paneAddress basic functionality, safety, and thermal issues with façade at main entranceways by rehabilitating stone work Upgrade ten studio spaces and theatre for creative arts use that also improves seniors accessBronson Centre community of tenants serves the following populations:Indigenous (2 organizations)Culturally diverse and immigrant (Afro-Caribbean, African, Latin, Chinese, South Asian, other)Seniors (low income, culturally diverse)Youth at risk (visible minority, low income families)Currently 20,000 persons/month up to 25,000 / month by 2021Serving Ottawa and region.",,Ottawa,East,211 Bronson Avenue,K1R6H5,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa
1072,Pikangikum First Nation Transitional Housing Project,Planning,2021-01-01,,0,51.8042,-93.9927,Communities,Infrastructure,Pikangikum First Nation,"The project is entirely planned to benefit Indigenous people living on-reserve, specially vulnerable population.  Allow the members to remain in the community, rather than being displaced by the Justice System.Allow the families to have access to their family members who may be involved in the justice system.    Provides temporarily accommodation to address domestic violence issues due to severe over-crowding of houses which connects to physical and physiological well-being.The structure of the building is being researched, designed and constructed in partnership with Natural Resources Canada.  The facility will comprise of a sleeping module which will house approximately 16 people using double occupancy per room, the gathering module which will consist of a community kitchen, public bathrooms, office space and healing rooms, common gathering area and conference rooms.  The exterior structures will include a deck, ramp and canopy.Pikangikum First Nation plans to build a small cultural gathering place as part of the main structure (bail house or transitional housing).  The gathering space (sub-structure) will provide common space to provide services to accused individuals and their families.  The services will be provided by qualified and accredited mental health workers, family councilors, Elders, legal workers, traditional healers. Full details are outlined in the the business case.",,,Northwest,Box 300,P0V2L0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-3
1075,Replacement of Lids on the Digester Tanks,Under construction,2024-01-01,,262427,42.997048,-82.418162,Communities,Infrastructure,Point Edward,Replace the lids on the digester tanks.,Reduction of gases being released into the atmosphere.,Lambton,Southwest,92 Alexandra Avenue,N7V 1C2,Yes,Yes,Yes,Yes,
1125,Ma-te-Way Activity Centre Expansion,Planning,2023-01-01,,0,45.465439,-76.694309,Communities,Infrastructure,Renfrew,"Develop off reserve Indigenous Cultural CentreReplace outdated non accessible Recreation Centre to foster greater accessibility for allMeet community and user needs and service gaps with enhanced recreation facilities and increased spacePromote good value through partnerships and efficient build and operationsThis project will replace an outdated non accessible facility and expand a separate and existing recreation facility. The newly constructed, 76,500 ft2 fully accessible facility, will improve upon and enhance outdated infrastructure to include an Indigenous cultural centre, fitness centre, walking track, multipurpose rooms, ice surface, lease space and all amenities. The project will increase facility traffic by 75%, increase new members by 50% and increase awareness of recreation opportunities.This project will primarily serve a population with a 25km radius of Renfrew which equates to 27,800 residents in Ontario in addition to 1500 residents in Quebec. Populations served include 5000 members from Algonquin First Nation and 22.4% low income families (2015 stats).  Communities served include Renfrew, Admaston Bromley, Horton, Greater Madawaska, McNab Braeside, Whitewater, Bonnechere Valley, North Algona Wilberforce and Arnprior.",,Renfrew,East,127 Raglan Street/Rue South/Sud,K7V1P8,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61197/canada-and-ontario-invest-in-improved-recreational-and-cultural-infrastructure-in-renfrew
1135,Robbins Family Centre,Planning,2023-01-01,,0,43.844913,-79.457123,Communities,Infrastructure,Richmond Hill,"To build a youth centre that increases accessibility to our programs by bringing them under one roof on a major road well-served by public transit, vs renting multiple spaces across VaughanTo provide a safe space where teens can gather, relax, play sports, study and talk about problems/questions with staff trained to recognize mental health issues, and be empowered through leadership training, community service and mentoring of young childrenTo increase number of youth served/yearConstruction began in May 2019. We are requesting funding for later-stage components (starting Fall 2020) for which contracts have not yet been awarded, including: Basketball Court/Gym, floor tiling, interior/exterior trim, hardware, interior/exterior painting, exterior caulking, railings, cabinetry/counter-tops for kitchens, deck/patio, Teen Lounge stone fireplace, and hard/soft landscaping.We currently serve over 1,000 youth aged 14-18 per year. In the first year after the building is finished, we expect this to increase to 2,000, and by Year 5, to 5,000. Most youth will come from the City of Vaughan  and the Town of Richmond Hill, but we currently have members from Aurora, Markham and North York as well. At least 40% of the youth will come from newcomer or low-income families, and all are welcome, regardless of religious affiliation.",,York,Central,8700 BATHURST ST,L4J9J8,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000028/canada-and-ontario-invest-in-increased-access-to-cultural-and-community-facilities-for-youth-in-richmond-hill
1148,Sagamok Anishnawbek Water Infrastructure,Planning,2023-01-01,,0,46.15731,-82.11003,Communities,Infrastructure,Sagamok Anishnawbek First Nation,"The Project will upgrade the drinking water distribution and storage systems in the Sagamok Anishnawbek First Nation. The work will involve extending and looping the existing, closed watermain by approximately 1,230 metres and adding fire hydrants along the new section; upgrading the water tower by replacing the internal liner and rooftop coating, addressing safety issues; swabbing and flushing approximately 18 km of watermains; and upgrading the infrastructure at two pump houses by replacing three water pumps and piping and adding a fixed generator for each pump house.",,,Northeast,4007 Espaniel Street,P0P1P0,Yes,Yes,Yes,,
1149,Community Wide Stormwater Improvement,Under construction,2023-01-01,,32157,53.050354,-93.333305,Communities,Infrastructure,Sandy Lake First Nation,Remove the current storm-water culvert systems and install new culverts in the identical locations using existing/ original granular backfill materials.,Improved community stormwater drainage.,,Northwest,,,,Yes,Yes,Yes,
1151,Repairs and Upgrades at Sewage Lift Stations,Under construction,2023-01-01,,196500,53.050354,-93.333305,Communities,Infrastructure,Sandy Lake First Nation,Repair and upgrade five sewage lift stations.,Improved protection to receiving environment by protecting against overflows due to pump failure.,,Northwest,,,,Yes,Yes,Yes,
1152,Sarnia Sewer Upgrades,Under construction,2023-01-01,,30017232,42.955451,-82.403535,Communities,Infrastructure,Sarnia,"Upgrades throughout system, including replacement of Green Street Pump Station and Forcemain, new Bedford Pumping Station, improvements to Sarnia Water Pollution Control Centre and decommissioning of older pump stations","Reduced risk of effluent quality issues, sewer backups, and environmental contamination",Lambton,Southwest,East of Murphy Road,N7T 7N2,Yes,Yes,Yes,,
1166,Cultural Centre at Algoma University,Planning,2024-01-01,,0,46.500734,-84.286937,Communities,Infrastructure,Sault Ste. Marie,"Solidify Algoma University as a recognized leader in Truth and Reconciliation and cross-cultural teaching and learningImprove the level of access to culturally appropriate space for the local urban indigenous population and surrounding rural First NationsBridge the cultural knowledge gap between public and Indigenous communities by fostering an environment of cultural understanding and sensitivity towards Indigenous peopleAlgoma University is seeking to construct a new facility that will promote and celebrate Anishinaabe culture on campus, in the region of Sault Ste. Marie and throughout Northern Ontario. The facility will consist of an expansion and renovation to the East Wing of the University. The space will encapsulate the Indigenous history of Shingwauk Residential School, the increasing diversity on campus, and the promotion of the University’s Special Mission of cross-cultural teaching and learning.As the project is intended to advance reconciliation throughout the local region, the Cultural Centre will:Provide the local indigenous population with a culturally appropriate space for programs, events and gatherings Provide visitors with the opportunity to participate in intensive learning experiences and programs regarding Truth and Reconciliation and the Residential Schools Legacy",,Algoma,Northeast,1520 QUEEN ST E,P6A2G4,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000166/canada-and-ontario-invest-in-new-indigenous-cultural-centre-at-algoma-university
1176,Seine River Water Treatment Distribution System Rehabilitation,Planning,2024-01-01,,0,48.719872,-92.416485,Communities,Infrastructure,Seine River First Nations,"The Project will rehabilitate components of the water distribution system in the Seine River First Nation. The work includes complete repair of the distribution system and valving including locate valves, repairing/replacing 17 hydrants, flushing, swabbing and repairing approximately 2,000 metres of transmission pipes, and recoating and repairing/replacing an elevated storage reservoir (water tower).",,,Northwest,124,P0W1H0,Yes,Yes,Yes,,
1190,Ka-Na-Chi-Hih Treatment Centre Sioux Lookout Program Expansion,Planning,2023-01-01,,0,50.097832,-91.922035,Communities,Infrastructure,Sioux Lookout,"For health and safety enhancements to the project, we are requiring new modern, updated internal and external doors that will allow for enhanced security.  With the new doors we will be able to add fob systems that will promote an environment that is not encompass an institutionalized environment setting by eliminating key access.We would also be including interior wall repairs to allow for additional storage to better utilize space as we have limited infrastructure opportunities for increased space needed to effectively facilitate the programming.The following renovations at the building will occur:Internal and external door upgradesFob systems for doorsInterior wall repairsFixed storage for interior spaceAddition of countertopsElectrical upgradesDrainageLandscaping The key objectives of this project are:Expansion of the current Ka-Na-Chi-Hih treatment program model to Sioux Lookout to increase the number of youth served by the program.Renovate an existing structure to provide a safe, welcoming healing space that supports land-based and traditional practices.Provide a long-term residential treatment program in the area; this type of programming is currently not available locally to our Norther Ontario First Nation communities.",,Kenora,Northwest,Unit 102 100 ANEMKI PL,P7J1A5,Yes,Yes,Yes,Yes,
1192,Six Nations Master Drainage and Flood Remediation Plan,Under construction,2023-01-01,,500000,43.072281,-80.114504,Communities,Infrastructure,Six Nations of the Grand River Territory,Improvement to  drainage at six locations in the territory.,Flood damage mitigation,Brant,Southwest,Various,,,Yes,Yes,Yes,
1197,Six Nations of the Grand River Wastewater Lagoons Forcemain Upgrade Construction,Planning,2023-01-01,,0,43.06,-80.1,Communities,Infrastructure,Six Nations of the Grand River Territory,"The Project will replace a pressurized sewage pipe in the Six Nations of the Grand River. The work will involve the installation of a larger, approximately 932-metre forcemain through horizontal drilling that will connect the existing sewage lift station to the three-cell lagoon. The footprint of this forcemain replacement will not follow the alignment of the existing forcemain, it will take a shorter route involving one road crossing and one creek crossing.",,Brant,Southwest,1695 Chiefswood Road,N0A1M0,Yes,Yes,Yes,,
1198,Save the Evidence Phase 3: Exterior Restoration and Public Accessibility,Planning,2024-01-01,,0,43.127623,-80.240674,Communities,Infrastructure,Six Nations of the Grand River Territory,"Restore the Mohawk Institute BuildingImprove the Mohawk Institute Building’s public accessibility, including installation of barrier-free main entrance & elevatorEnhance public accessibility with a parking lot and accessible entrance to the Museum Building (not funded by Cultural Spaces)Opening this Site of Consciousness to the public to ensure the legacy of residential schools in Canada is shared with our national and global communities, told through the lens of the SurvivorsExterior restoration components include masonry and windowsInterior restoration including finishingsSecurity servicesAccessibility improvements include a barrier free entrance that will be the main entrance to the site, as well as an elevator. The site needs accessible components that are not part of the Cultural Spaces Fund. These include construction of a parking lot for easier public access to the site, and an accessible main entrance and lobby for the Museum Building (site's reception)The Mohawk Institute Building, and by extension the Woodland Cultural Centre, is an important national site for public education and healing. We welcome Indigenous and non-Indigenous audiences to come together and share in the knowledge of the legacy of residential schools, and the strength of Indigenous Cultures in Canada. We host groups from educational institutions (all levels) to provide enriched Indigenous-centred programming. Once open, we expect to see double our current annual visitors.","The work will allow the Woodland Cultural Centre to restore the Mohawk Institute Residential School site, allowing it to open as a national historical cultural site for public education and healing.",Brant,Southwest,184 MOHAWK ST,N3S2X2,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000556/canada-and-ontario-invest-over-94-million-in-the-woodland-cultural-centre
1231,Glencoe Main Street Watermain Reconstruction,Planning,2022-01-01,,0,42.74973,-81.7055,Communities,Infrastructure,Southwest Middlesex,"The Project will replace the watermain along Main Street from Parkhouse Drive to Graham Street and Symes Street north to the town limits in Glencoe. The work will involve replacing approximately 1.5 kilometres of watermain with a new and larger pipe, as well as replacing existing water services to residential and commercial properties which includes approximately 1 kilometre of water service pipes, reattaching the side street interconnections, installing 12 new fire hydrants and main line water valves. The affected roadway, curbs, sidewalks and driveways will also be replaced.",,Middlesex,Southwest,153 McKellar Street/Rue,N0L1M0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
1271,Wastewater Treatment Plant – Optimizations to Reduce Overflows and Improve Environmental Impact,Planning,2024-01-01,,0,42.779094,-81.193055,Communities,Infrastructure,St. Thomas,"This project is for the optimization and performance upgrades of the Wastewater Treatment Plant to remove bottle necks and increase flows during wet weather events in the City of St. Thomas. This project will conduct optimization and performance reviews of the sewage treatment plant; upsize the plant’s 3 influent flow meters, pipes, and plug valve; adjust the inter-plant flow distribution between 3 treatment plants to optimize flow; expand the effluent pumping station; replace associated infrastructure including the utility water system; expand the duplicate UV channel; replace and upsize the primary and secondary outfall pipes as well as the structure and backflow valve; and increase the berm height around the treatment plant as it is currently below the seasonal elevation.",,Elgin,Southwest,545 Talbot Street,N5P3V7,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
1318,Serpent River Landfill Site,Under construction,2023-01-01,,584250,46.217499,-82.517139,Communities,Infrastructure,The North Shore,Expansion of the Serpent River landfill site.,Diverting recyclable waste,Algoma,Northeast,5931 Hwy 17,P0P 1V0,Yes,Yes,Yes,,
1366,MacDonald Block Reconstruction,Under construction,,,1536000000,43.663431,-79.387675,Communities,Infrastructure,Toronto,"Complete reconstruction of the 4 tower, 1,800,000 sq.ft.- office building over 8 years","An efficient, accessible and environmentally responsible workplace. Replaced building systems will reduce operating costs and improve energy performance.",Toronto,Central,900 Bay St.,M7A 2E1,,Yes,,,http://www.infrastructureontario.ca/Macdonald-Block-Reconstruction-Project/
