id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
356,Eagle Lake Watermain Upgrade,Complete,2019-12-01,,1220000,49.737113,-93.057569,Communities,Infrastructure,Eagle Lake First Nation,Improvements to the water distribution system on the Eagle Lake First Nation.,Safer drinking water,,Northwest,Ojibway Drive and Aspen Avenue,P0V 3H0,,Yes,Yes,Yes,
357,Membrane Filter Replacement,Complete,2018-03-01,,98453,49.734038,-93.055817,Communities,Infrastructure,Eagle Lake First Nation,Replace the worn water treatment plant membrane filters.,Increased potable water production for community demand and fire protection.,,Northwest,1001 Ojibway Drive,P0V 3H0,,Yes,Yes,Yes,
358,Clarifier Rehabilitation,Complete,2018-10-01,,348041,50.633361,-93.250583,Communities,Infrastructure,Ear Falls,"Replace the interior mechanical components, and replace the roof  and insulation of the structure at the Ear Falls wastewater treatment Plant.",,Kenora,Northwest,44 Chestnut Street,,Yes,Yes,Yes,,
359,Stormwater Collection and Conveyance System and Culvert Upgrading,Complete,2018-06-01,,75000,46.30928,-79.291061,Communities,Infrastructure,East Ferris,Install approximatel 20 meters of new culvert.,,Nipissing,Northeast,,,Yes,Yes,Yes,,
360,Assessment and Plan Development for the Town's Storm Water Management,Complete,2019-05-01,,240000,44.133484,-79.371399,Communities,Infrastructure,East Gwillimbury,"Assess the current state of the town's storm water infrastructure, including linear works and storm water management facilities.","An operations, monitoring and maintenance plan to meet guidelines and best practices.",York,Central,19000 Leslie St,L0G 1V0,Yes,Yes,Yes,,
361,Rehabilitation of the West Street Sewage Pumping Station,Complete,2020-03-01,,657612,44.097717,-79.490723,Communities,Infrastructure,East Gwillimbury,Rehabilitate the existing West Street sewage pumping station.,,York,Central,30 West Street,L9N 1L4,Yes,Yes,Yes,,
362,Upgrade/rehabilitation of storm sewers,Complete,2018-07-01,,75000,45.499743,-74.464763,Communities,Infrastructure,East Hawkesbury,Replace the storm sewers on Mill Street.,Improved overall surface water collection system.,Prescott and Russell,East,,,Yes,Yes,Yes,,
363,Storm Sewer Replacement - Village of St-Eugene,Complete,2023-06-01,,0,45.499651,-74.466779,Communities,Infrastructure,East Hawkesbury,The Project will replace and rehabilitate components of a deteriorating storm sewer system in St-Eugene. The work will replace approximately one kilometre of storm sewers of various sizes and 45 catch basins with sumps. A total of approximately 200 metres of mountable curb will be added on Fatima Street and approximately 200 metres of sidewalks replaced and extended on Labrosse Street.,"Improve the condition and performance of the storm sewer system, which will help to prevent backups in basements and flooding of private septic systems.",Prescott and Russell,East,"5151 COUNTY RD 14, P.O Box 340",K0B1P0,Yes,Yes,Yes,Yes,
364,Storm Sewer Replacement on Jacob Street East,Complete,2017-08-01,,75000,43.323925,-80.83391,Communities,Infrastructure,East Zorra-Tavistock,"Replace the underground infrastructure such as storm sewer, road base and water/wastewater services om Jacob Street East.",,Oxford,Southwest,,,Yes,Yes,Yes,,
365,Rehabilitate exterior overcoat of the existing elevated tank shell and cone surfaces.,Complete,2017-10-01,,105000,44.810913,-75.42749,Communities,Infrastructure,Edwardsburgh-Cardinal,Rehabilitate exterior overcoat of the existing elevated tank shell and cone surfaces.,Extended life of the asset and further protect the structure from exposure to the elements,Leeds and Grenville,East,4035 Dishaw Street,K0E 1E0,Yes,Yes,Yes,,
366,Replace control unit at the water treatment plant,Complete,2018-04-01,,41250,44.810913,-75.42749,Communities,Infrastructure,Edwardsburgh-Cardinal,Replace an unsupported technology with an upgraded control panel.,Increased reliability and optimizing the filtration stage of water treatment.,Leeds and Grenville,East,87 Legion Way,K0E 1E0,Yes,Yes,Yes,,
367,"Replace piping, valves and measuring device at Adelaide Street Pumping Station",Complete,2019-10-01,,52500,44.810913,-75.42749,Communities,Infrastructure,Edwardsburgh-Cardinal,"Replace the piping, valves and measuring device at the Adelaide Street pumping station dry well.",,Leeds and Grenville,East,70 Adelaide Street,K0E 1E0,Yes,Yes,Yes,,
368,Replace Ultraviolet (UV) unit at the wastewater treatment plant,Complete,2018-04-01,,53766,44.810913,-75.42749,Communities,Infrastructure,Edwardsburgh-Cardinal,Replace the ultraviolet unit at the wastewater treatment plant.,Improved disinfection of the water.,Leeds and Grenville,East,4000 John Street,K0E 1E0,Yes,Yes,Yes,,
369,Repair of Waste Water Pumping Systems,Complete,2019-08-01,,298115,46.386179,-82.650941,Communities,Infrastructure,Elliot Lake,"Remove, reconstruct and reinstall 5 lift screws as well as install solid covers to insulate, dampen noise and protect concrete structures from the environment.",,Algoma,Northeast,2 Scott Road,P5A 1X5,Yes,Yes,Yes,,
370,Upgrade to the Main Sewage Pumping Station,Complete,2019-11-01,,130683,48.628056,-93.831944,Communities,Infrastructure,Emo,"Replace all the internal components of the sewage lift station, including the pumps, steel piping and controls.",Reduced risk of failure of the piping network and pumping system.,Rainy River,Northwest,,,Yes,Yes,Yes,,
371,Upgrade to Existing Water Treatment Plant,Complete,2019-11-01,,33750,48.628611,-93.834167,Communities,Infrastructure,Emo,"Replace the 2 pumps and flow meter, which are critical to supplying water to the approximate 1,300 residents of the town.",,Rainy River,Northwest,,,Yes,Yes,Yes,,
372,Watermain Replacement East of the Water Treatment Plant,Complete,2019-10-01,,1564200,48.628421,-93.833526,Communities,Infrastructure,Emo,"Upgrades and replacement of watermain along King Street, Hannah Street, Walker Streets, and Tyrrell Street.",Safer drinking water,Rainy River,Northwest,,P0W 1E0,Yes,Yes,,,
373,Emo Water Treatment Plant Upgrades & Optimization for THM & HAA Reduction,Planning,2023-01-01,,0,48.628384,-93.844125,Communities,Infrastructure,Emo,"The Project will upgrade a water treatment plant in Emo.The work will involve flushing, cleaning  and removing sand deposits from the bottom of raw water pipes, installing an intake screen, upgrading the chemical feed system, and installing an automatic switchover panel and Anion Exchange treatment solution including two pressure rated vessels, a brine tank, backwash kit, microprocessor controller and an anion exchange media.","Improve the facility's performance, lengthen its lifespan, and ensure area residents have increased access to quality drinking water and a healthier living environment.",Rainy River,Northwest,39 Roy St,P0W1E0,Yes,Yes,Yes,,
374,Upgrade of the main electrical system at the First Street water plant,Complete,2018-03-01,,168750,47.832496,-79.868281,Communities,Infrastructure,Englehart,Replace the electrical system at the First Street water plant.,Improved energy efficiency and reduce plant failures thereby reducing incidents of loss of water and loss of fire protection.,Timiskaming,Northeast,56 First Street,P0J 1H0,Yes,Yes,Yes,,
375,Englehart Water and Sewer Replacement,Complete,2017-12-01,,2000000,47.828402,-79.866775,Communities,Infrastructure,Englehart,Replacement of water and sanitary sewer mains.,Safer drinking water,Timiskaming,Northeast,Various streets,,Yes,Yes,,,
376,Englehart Water Supply Upgrade,Planning,2025-12-01,,0,47.823838,-79.866934,Communities,Infrastructure,Englehart,"This Project will expand the drinking water supply and storage capacity in Englehart. The work will include: the construction of one additional drilled well with pump; upgrades to two existing wells; installing a new standpipe to increase water storage capacity; add variable frequency drives to well pumps to provide additional flow control capabilities; upgrade mechanical, electrical and SCADA systems to accommodate new equipment and controls; a hydrogeological investigation (aquifer study), geotechnical investigation, mechanical and piping modifications, and electrical and control modifications.",,Timiskaming,Northeast,61 Fifth Ave,P0J1H0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
377,Wireless communication plus SCADA at multiple water facilities.,Complete,2017-07-01,,143741,43.771369,-80.118836,Communities,Infrastructure,Erin,Install a supervisory control and data acquisition system at three facilities in the Hillsburgh Water System (two well houses and a booster station).,Better management of the water treatment system.,Wellington,Southwest,5684 Trafalgar Rd,N0B 1Z0,Yes,Yes,Yes,,
378,Wastewater Treatment Plant Improvements,Complete,2017-02-01,,2373164,46.251619,-81.765921,Communities,Infrastructure,Espanola,"The project is for upgrades to the underground water and wastewater infrastructure in the Town of Espanola. The works include replacement of sewer lines, cast-iron waterpipes and related roadwork.","Reducing risk of sewer backups, while eliminating discoloration and odours in drinking water",Sudbury,Northeast,Algoma St / Annette St,P5E 1J8,Yes,Yes,Yes,,
379,"Water, Wastewater and Stormwater Infrastructure Rehabilitation",Complete,2019-07-01,,546159,45.151053,-79.398193,Communities,Infrastructure,Espanola,"Replace approximately 6.7 km of water lines, wastewater and necessary road work.",Improved water quality and fire flows.,Sudbury,Northeast,"596 Second Ave,",P5E 1C,Yes,Yes,Yes,,
380,Water Infrastructure Rehabilitation,Complete,2019-09-01,,1569970,46.256,-81.776,Communities,Infrastructure,Espanola,"Rehabilitation of water, sanitary and storm collection systems, and reconstruction of street surface on Jean, Elizabeth and Katherine Streets.",Safer drinking water,Sudbury,Northeast,,P5E 1S6,Yes,Yes,,,
381,Watermain Replacement,Complete,2019-09-01,,620207,44.31442,-79.878091,Communities,Infrastructure,Essa,"Replace 1750 metres of ductile iron watermain on Berwick Avenue, Sandspring Avenue, Ashburton Avenue and Larkdale Avenue.",,Simcoe,Central,"8 Larkdale Cres,",L0M 1B0,Yes,Yes,Yes,,
382,Upgrades to the Colchester South Lagoons and Pump Station,Complete,2020-01-01,,356250,42.138079,-82.950156,Communities,Infrastructure,Essex,"Install  4 high-efficiency surface aerators, replace the motor control center panels, the main raw pumps, all piping and valving, and install a new raw flow meter.","Improved treatment process, energy savings and reduced the carbon footprint.",Essex,Southwest,125 Cornwall Beach Road,N0R 1G0,Yes,Yes,Yes,,
383,Upgrades to the Harrow-Colchester South Water Treatment Plant,Complete,2020-07-01,,761250,41.987029,-82.928853,Communities,Infrastructure,Essex,"Retrofit 4 low-lift pumps, replace the low-lift and high-lift motor control center panels, retrofit 2 high-lift pumps and 1 backwash pump , replace the communication line between the low-lift building and main building, and replace 1 microstrainer.","Improved treatment process, energy savings and reduced the carbon footprint.",Essex,Southwest,"405 Clithrow Street,",N0R 1G0,Yes,Yes,Yes,,
384,Replacement of the Grit Blower,Complete,2020-01-01,,30000,42.16593,-82.836964,Communities,Infrastructure,Essex,Install a new grit  pump motor  and blower.,"Improved treatment process, energy savings and reduced the carbon footprint.",Essex,Southwest,3980 North Malden Road,N8M 2X6,Yes,Yes,Yes,,
385,Upgrades to the Harrow Lagoon and Pump Station,Complete,2020-02-01,,326250,42.045193,-82.925888,Communities,Infrastructure,Essex,"Install 4 new high-efficiency surface aerators, new high-efficiency pumps, an in-line grinder, and replace 1 aging motor control center panel.",,Essex,Southwest,2215 Roseborough Road Harrow,N0R 1G0,Yes,Yes,Yes,,
386,Water Servicing Options Study,Complete,2018-08-01,,75000,47.81883,-79.86776,Communities,Infrastructure,Evanturel,Conduct a municipal environmental assessment of the drinking water infrastructure.,,Timiskaming,Northeast,,,Yes,Yes,Yes,,
387,Replace raw water low lift pump,Complete,2018-12-01,,12157,49.310735,-82.039355,Communities,Infrastructure,Fauquier-Strickland,Upgrade to a new 8.5 HP raw water low lift pump.,Improved supply of water for the 165 residential and commercial clients connected to the system.,Cochrane,Northeast,12 Gravel Avenue,P0L 1G0,Yes,Yes,Yes,,
388,Replace high lift pump,Complete,2018-07-01,,27354,49.310735,-82.039355,Communities,Infrastructure,Fauquier-Strickland,Replace the 7.5 HP high lift pump with a new one including a variable frequency drive.,Improved continuous supply of potable water for the 165 residential and commercial users connected to the system.,Cochrane,Northeast,12 Gravel Avenue,P0L 1G0,Yes,Yes,Yes,,
389,Water plant chemical resistant exhaust fan equipment upgrade,Complete,2018-01-01,,1719,49.310735,-82.039355,Communities,Infrastructure,Fauquier-Strickland,Install an exhaust fan.,Improved workplace safety for water plant employees.,Cochrane,Northeast,12 Gravel Avenue,,Yes,Yes,Yes,,
390,Fauquier Water Distribution System Upgrades,Complete,2017-08-01,,2000000,49.309172,-82.03589,Communities,Infrastructure,Fauquier-Strickland,"Replacement of approximately 1,000 m of watermain to a new site.",Safer drinking water,Cochrane,Northeast,"25 Grazela Road, P.O. Box 40",P0L 1G0,Yes,Yes,,,
391,Fauquier Water Treatment Plant Upgrades,Complete,2022-03-01,,1757156,49.311211,-82.038895,Communities,Infrastructure,Fauquier-Strickland,Upgrades to the water treatment plant.,Safer drinking water,Cochrane,Northeast,Gravel Avenue,P0L 1G0,Yes,Yes,Yes,,
392,Repairs and Upgrades at Water Treatment Plant,Complete,2019-06-01,,93867,52.202764,-81.804531,Communities,Infrastructure,Fort Albany First Nation,"Replace the supervisory control and data acquisition system, replace on-line analyzers, fix or replace de-sludge valve, replace high-lift pump and backwash pump, replace chemical dosing pump, replace battery of generator, and fix furnace.",,,Northeast,,P0L 1H0,,Yes,Yes,Yes,
393,Highland Avenue Reconstruction,Complete,2018-12-01,,816731,42.934233,-78.921351,Communities,Infrastructure,Fort Erie,Reconstruction of Highland Avenue water and wastewater.,Safer drinking water,Niagara,Central,Highland Ave,L2A 2S6,Yes,Yes,,,
394,Dufferin Street Sanitary Sewer,Complete,2020-09-01,,412500,42.901776,-78.972175,Communities,Infrastructure,Fort Erie,Replacement of 352 metres of  sanitary sewers from Central Avenue to the Niagara Parkway.,,Niagara,Central,,,Yes,Yes,Yes,,
395,Murray Street Watermain Replacement,Complete,2020-09-01,,245400,42.901776,-78.972175,Communities,Infrastructure,Fort Erie,Replace 240 metres of  cast iron watermain constructed in 1920 from Aberdeen Street to Central Avenue.,Improved system reliability.,Niagara,Central,,,Yes,Yes,Yes,,
396,Murray Street Sanitary Sewer,Complete,2020-09-01,,632100,42.901776,-78.972175,Communities,Infrastructure,Fort Erie,Replace 630 metres of vitrified clay sanitary sewers from Aberdeen Street to Waterloo Street.,,Niagara,Central,,,Yes,Yes,Yes,,
397,Battery Street Watermain Replacement,Complete,2020-09-01,,129375,42.915806,-78.912889,Communities,Infrastructure,Fort Erie,Replace 110 metres of cast iron watermain constructed in 1920 from Catharine Street to Murray Street. T,Improved system reliability.,Niagara,Central,,,Yes,Yes,Yes,,
398,Battery Street Sanitary Sewer,Complete,2020-09-01,,301875,42.901776,-78.972175,Communities,Infrastructure,Fort Erie,Replace 220 metres of vitrified clay sanitary sewers from Bertie Street to Catherine Street.,,Niagara,Central,,,Yes,Yes,Yes,,
399,"Replacement of watermain,  sanitary sewer mains and associated service lines",Complete,2019-03-01,,735123,48.611915,-93.397074,Communities,Infrastructure,Fort Frances,"Replacement of watermain,  sanitary sewer mains and associated service lines along  2nd Street East from Mowat Avenue to Portage Avenue",,Rainy River,Northwest,,,Yes,Yes,Yes,,
400,Reconstruction of Nelson Street,Complete,2018-11-01,,222636,48.607825,-93.38629,Communities,Infrastructure,Fort Frances,Reconstruct the roadway on Nelson Street,,Rainy River,Northwest,,,Yes,Yes,Yes,Yes,
401,Improve Freeze Protection on Water Main,Complete,2020-06-01,,20081,55.9907,-87.633,Communities,Infrastructure,Fort Severn First Nation,Replace six heat trace controllers.,Ensure the safe/efficient supply of water to the community.,,Northwest,,,,Yes,Yes,Yes,
402,Installation of a New Stormwater Pipe,Complete,2020-03-01,,71250,48.349126,-89.269099,Communities,Infrastructure,Fort William First Nation,Install 3 corrugated steel pipe culverts and a new 200 mm diameter waterline on Mission Road.,Improved drainage and reduced flooding at the Anemeki and Mission Road Intersection.,Thunder Bay,Northwest,151 Mission Road,P7J 1K7,Yes,Yes,Yes,,
403,Extension of Little Lake Road Watermain,Complete,2018-09-01,,37500,48.355916,-89.258537,Communities,Infrastructure,Fort William First Nation,Complete the designs for the installation of approximately 200m of  pipe to connect to the existing distribution line.,"Improved water circulation, improved water quality of stagnant water and reduced maintenance needs of the system.",Thunder Bay,Northwest,558 City Road,P7J 1K3,Yes,Yes,Yes,,
404,Extension of Water Distribution and Fire Protection Improvements,Complete,2020-03-01,,29250,48.35243,-89.286188,Communities,Infrastructure,Fort William First Nation,Complete the designs for Quarry Road watermain fire hydrant extension to provide sufficient safety provisions for fire suppression of the existing housing development.,"Ensure safe reliable drinking water, and  that fire system installation is properly completed.",Thunder Bay,Northwest,1 Quarry Road,P7J 1K4,Yes,Yes,Yes,,
405,Assessment of Noelville Wastewater/Stormwater Infrastructure Upgrades,Complete,2020-03-01,,75000,46.119324,-80.404602,Communities,Infrastructure,French River,"Develop an assessment, feasibility and detailed engineering plan for the rehabilitation and upgrade of the wastewater and stormwater infrastructure in the community of Noelville.",,Sudbury,Northeast,"Hwy 535/Hwy 64 Junction, Noelville P0M 2N0",P0M 2N0,Yes,Yes,Yes,,
406,Upgrade culverts,Complete,2017-08-01,,23250,44.479939,-75.876557,Communities,Infrastructure,Front of Yonge,Change approximately 5 cross culverts. Rock breaking and ditching will be done where needed.,Improved drainage and stability of the road surface.,Leeds and Grenville,East,5 Marsh Rd - 121 Marsh Rd.,,Yes,Yes,Yes,,
407,Upgrade culverts,Complete,2017-08-01,,18750,44.478794,-75.895154,Communities,Infrastructure,Front of Yonge,Change approximately 5 cross culverts. Rock breaking and ditching will be done where needed.,Improved drainage and stability of the road surface.,Leeds and Grenville,East,3 Catholic Ch - 55 Catholic Ch. K0E 1R0,K0E 1R0,Yes,Yes,Yes,,
408,Upgrade very large culvert,Complete,2017-08-01,,14250,44.532489,-75.835418,Communities,Infrastructure,Front of Yonge,Replace a very large culvert under  Devil's Door Road.,Prevent the culvert from failing and resulting road closure.,Leeds and Grenville,East,,,Yes,Yes,Yes,,
409,Upgrade culverts,Complete,2017-06-01,,6000,44.478794,-75.895154,Communities,Infrastructure,Front of Yonge,Change approximately 5 cross culverts. Rock breaking and ditching will be done where needed.,Improved drainage and stability of the road surface.,Leeds and Grenville,East,7 Guild Rd - 35 Guild Rd. K0E 1R0,K0E 1R0,Yes,Yes,Yes,,
410,Upgrade Ditches and Drainage,Complete,2017-08-01,,6750,44.478794,-75.895154,Communities,Infrastructure,Front of Yonge,Clean out and deepen the ditches to improve drainage.,Improved drainage and stability of the road surface.,Leeds and Grenville,East,2 Junetown - 114 Junetown K0E 1R0,K0E 1R,Yes,Yes,Yes,,
411,Upgrade Ditches and Drainage,Complete,2017-08-01,,6000,44.575336,-75.802721,Communities,Infrastructure,Front of Yonge,Clean out and deepen the ditches to improve drainage on Lake Street.,Improved drainage and stability of the road surface.,Leeds and Grenville,East,8 Lake St. - 209 Lake St. K0E 1M0,K0E 1M0,Yes,Yes,Yes,,
412,Force Main and East End Pumping Station Upgrade,Complete,2021-06-01,,505151,44.337764,-76.145811,Communities,Infrastructure,Gananoque,Commission an environmental assessment for the  twinning of the existing force main and the upgrade of an east end pumping station.,,Leeds and Grenville,East,815 King Street East,K7G 1H,Yes,Yes,Yes,,
413,Upgrades and Repairs at the Garden River Water Treatment Plant,Complete,2023-06-01,,65250,46.536723,-84.149825,Communities,Infrastructure,Garden River First Nation,"Repair or replace the online turbidity analyzer,  flow meter, online chlorine analyzer, and building structure.  Install a new colorimeter, chemical dosing pump and panel,  computer and printer, and additional operator and maintenance space and washroom .",,Algoma,Northeast,7 Shingwauk Street,P6A 7B,,Yes,Yes,Yes,
414,Echo River Water Treatment Plant,Complete,2023-09-01,,42750,46.527133,-84.099507,Communities,Infrastructure,Garden River First Nation,"Extend the reservoir, upgrade the pump and pressure tanks, replace the chlorine dosing panel.",Increased safety and security of water supply.,Algoma,Northeast,127 Echo River Road,P6A 7A8,,Yes,Yes,Yes,
415,Design for Servicing for New Subdivision,Complete,2023-03-01,,30000,46.547014,-84.1421,Communities,Infrastructure,Garden River First Nation,"Complete a study and design for water, sewage, and stormwater servicing for a planned 74-lot subdivision.",,Algoma,Northeast,,,,Yes,Yes,Yes,
416,Hydrogeological Groundwater Study and New Well,Complete,2023-09-01,,17730,46.536723,-84.149825,Communities,Infrastructure,Garden River First Nation,"Conduct a hydrogeological study for groundwater to determine well yields of existing potable water wells, including installing a second well at Echo River water treatment plant.",Enhanced protection to the receiving environment and aquifer.,Algoma,Northeast,7 Shingwauk Street,P6A 7B,,Yes,Yes,Yes,
417,Replacement of Drinking Water Pipes in the Block subdivision in the Village at Garden River First Nation,Planning,2023-01-01,,0,46.551,-84.149,Communities,Infrastructure,Garden River First Nation,"This project is for the replacement of a watermain and the installation of 12 new fire hydrants in the Block subdivision on Green Sky Street, Wigwaus Street, Gemah Street, and Highway 17B in Garden River First Nation. The work includes replacing approximately five kilometres of two-inch pipe with six-inch pipe, installing isolation valves at all ""tee"" and ""cross"" pipe intersections as well as approximately 300 metre intervals on straight runs; and installing 12 new fire hydrants.",,Algoma,Northeast,7 Shingwauk Street,P6A6Z8,Yes,Yes,Yes,,
418,Engineering Rehabilitation Studies,Complete,2019-12-01,,63750,48.134067,-79.82533,Communities,Infrastructure,Gauthier,Conduct engineering rehabilitation studies and recommended works on existing stormwater and wastewater infrastructure at various locations in Dobie.,The results of the study are going to lead to the rehabilitation of the system.,Timiskaming,Northeast,30 McPherson St,P0K 1B0,Yes,Yes,Yes,,
419,McPherson Street Forcemain and Pumping Station,Complete,2019-11-01,,1677065,48.133822,-79.827547,Communities,Infrastructure,Gauthier,"Replacement of sanitary forcemain on McPherson Street, as well as the reconstruction of the pumping station.",Minimized risk of contamination,Timiskaming,Northeast,,P0K 1B0,Yes,Yes,,,
420,Waterproof Valve Chamber on Raw Water Main,Complete,2017-12-01,,15000,44.644167,-80.934028,Communities,Infrastructure,Georgian Bluffs,Waterproof the valve chamber on the raw water main .,,Grey,Southwest,,,Yes,Yes,Yes,,
421,Upgrade Pressure Reducing Valve Chamber,Complete,2019-06-01,,11250,44.626111,-80.936944,Communities,Infrastructure,Georgian Bluffs,Install a new pressure reducing valve chamber.,,Grey,Southwest,,,Yes,Yes,Yes,,
422,Upgrade of Shallow Lake Water Plant,Complete,2020-03-01,,134159,44.618889,-81.097778,Communities,Infrastructure,Georgian Bluffs,"Replacethe green sand filter media, green sand backwash flow meter, diaphragm valves and pipe header, gravity filter valve actuators and turbidity meters, and upgrade the programmable logic controllers.",,Grey,Southwest,,,Yes,Yes,Yes,,
423,Watermain Replacement,Complete,2019-05-01,,2170289,44.29856,-79.3571,Communities,Infrastructure,Georgina,"Replace aging cast iron and ductile iron watermain on Burke Street, Garrett Drive and West Street.",,York,Central,Sutton,,Yes,Yes,Yes,,
424,Water service replacement,Complete,2019-10-01,,93750,44.296321,-79.43626,Communities,Infrastructure,Georgina,Replace the water services in the town of Georgina,,York,Central,,,Yes,Yes,Yes,,
425,Rehabilitation of Multiple Stormwater Assets,Complete,2017-08-01,,75000,48.293763,-89.700203,Communities,Infrastructure,Gillies,"Replace and rehabilitate ditches on both sides of the road at  Badger Mine Road, Chimo Road, Couch Road, Leeper Road, Liddicoat Road, Lysak Road , Main St , ONeill Road and Prouty Road.",Improved flow of storm water.,Thunder Bay,Northwest,,,Yes,Yes,Yes,,
426,Assessment of the Water Distribution and Sewage Collection System,Complete,2019-11-01,,56250,49.733333,-86.516667,Communities,Infrastructure,Ginoogaming First Nation,Conduct an audit of the water distribution and sewage collection system and make a plan to address the water losses and high inflow/infiltration issues at the Ginoogaming First Nation.,Ensure that untreated wastewater does not enter the environment and negatively impact surrounding communities.,Thunder Bay,Northwest,,,,Yes,Yes,Yes,
427,New and/or Replacement of Equipment for Optimizing  Ginoogaming First Nation water system.,Complete,2020-02-01,,31698,49.733333,-86.516667,Communities,Infrastructure,Ginoogaming First Nation,Purchase and install new equipment or replace equipment as needed to address the water losses and high inflow/infiltration issues to the Greenstone wastewater system.,Ensure that untreated wastewater does not enter the environment and negatively impact surrounding communities.,Thunder Bay,Northwest,,,,Yes,Yes,Yes,
428,Goderich Water Tower,Complete,2018-11-01,,316425,43.741957,-81.701045,Communities,Infrastructure,Goderich,Replace the interior liner of the Goderich Water Tower and conduct steel repairs both inside and outside the structure.,"Better water services to all 3,500 private dwelling in the Town of Goderich.",Huron,Southwest,220 St. David Street,N7A 1M1,Yes,Yes,Yes,,
429,Phipps Street Water Main Replacement and Street Reconstruction,Complete,2018-12-01,,1512967,45.91466,-82.465258,Communities,Infrastructure,Gore Bay,Replacement of the existing watermain along Phipps Street,Safer drinking water,Manitoulin,Northeast,Phipps St,,Yes,Yes,,,
430,Replacement Eleanor Street Watermain,Complete,2018-07-01,,159099,45.916405,-82.466286,Communities,Infrastructure,Gore Bay,Replace the watermain on Eleanor Street from Phipps Street to Laird Street.,Increased security of supply for 8 households and of the overall distribution system for approximately 26 homes.,Manitoulin,Northeast,7 Eleanor Street,P0P 1H0,Yes,Yes,Yes,Yes,
431,New Street Water System Rehabilitation,Complete,2019-10-01,,1822500,45.913,-82.467,Communities,Infrastructure,Gore Bay,"Reconstruction of New Street, between Main Street and Hall Street.",Safer drinking water,Manitoulin,Northeast,,,Yes,Yes,,,
432,Replacement of Foundation Drain Collectors -Phase 1,Complete,2018-09-01,,238520,43.90298,-80.31494,Communities,Infrastructure,Grand Valley,Install 50 metres of new foundation drain collector sewer from the existing storm sewer outlet.,Eliminate the use of sump pumps.,Dufferin,Central,,,Yes,Yes,Yes,,
433,Wastewater System Assessment and,Complete,2022-06-01,,127350,50.152991,-93.990139,Communities,Infrastructure,Grassy Narrows First Nations,Conduct a detailed assessment of the communal wastewater collection system at Grassy Narrows First Nation to identify all existing deficiencies as well as provide upgrade alternatives and future recommendations that will be essential to providing adequate wastewater services to the community.,,,Northwest,,,,Yes,Yes,Yes,
434,Replacement of Failing Sewage Pumping Stations,Planning,2023-01-01,,0,50.149086,-94.003087,Communities,Infrastructure,Grassy Narrows First Nations,"The project will replace failing sewage pumps in the Grassy Narrows First Nation. The work will involve the decommissioning and replacement five (5) failing sewage pumping stations with new equipment and installing new process piping, fittings, valves and associated components for each station.",,,Northwest,General Delivery,P0X1B0,Yes,Yes,Yes,,
435,Upgrades of Greavette Storm Sewer/Drainage System,Complete,2019-03-01,,53400,44.920361,-79.380722,Communities,Infrastructure,Gravenhurst,Create a design and plan for the rehabilitation of the Greavette Storm Sewer/Drainage System.,Mitigated risk and liability to the municipality.,Muskoka,Central,,,Yes,Yes,Yes,,
436,Rehabilitation of Greavette Storm Sewer/Drainage System.,Complete,2019-12-01,,21600,44.920361,-79.380722,Communities,Infrastructure,Gravenhurst,Rehabilitate the failing Grevette Storm Sewer.,Create a more environmentally friendly drainage system and reduce any residential flooding.,Muskoka,Central,,,Yes,Yes,Yes,,
437,Upgrade to the Wastewater Pollution Control Plant,Complete,2019-12-01,,671975,45.240083,-76.960778,Communities,Infrastructure,Greater Napanee,Increase the capacity of the water pollution control plant.,"Greater capacity to treat normal and wet weather water flows, and reduced effluents going into the Napanee River.",Lennox and Addington,East,,,Yes,Yes,Yes,,
438,Sewer Infrastructure Replacement,Complete,2018-11-01,,1647221,44.2483,-76.9487,Communities,Infrastructure,Greater Napanee,"Replacement and improvements to the storm sewer system, sanitary sewer system, and watermains along Dundas Street from Centre Street to Adelphi Street.",Minimized risk of contamination,Lennox and Addington,East,,,Yes,Yes,,,
439,Upgrade to main water line in Coniston,Complete,2019-03-01,,2902500,46.4896,-80.8486,Communities,Infrastructure,Greater Sudbury,Upgrade of the main water line on 1st Avenue.,Improved water flow and pressure.,Sudbury,Northeast,40 1st Avenue,P0M 1M0,Yes,Yes,Yes,,
440,Upgrade of watermain water line,Complete,2019-03-01,,3306903,46.620339,-81.419405,Communities,Infrastructure,Greater Sudbury,Replace the deteriorating main water line on Spruce Street.,Improved water volumes and pressure.,Sudbury,Northeast,501 Spruce Street,P3C 1P3,Yes,Yes,Yes,,
441,Watermain Lining,Complete,2018-09-01,,374887,46.475505,-81.010938,Communities,Infrastructure,Greater Sudbury,Lining the watermain line on York Street from Regent Street to Paris Street.,Fewer watermain breaks.,Sudbury,Northeast,203 York Street,P3E 2A2,Yes,Yes,Yes,,
442,Watermain Lining,Complete,2018-09-01,,187500,46.463151,-81.021527,Communities,Infrastructure,Greater Sudbury,Lining the watermain line on Strathmere Court from Robinson Drive East to Robinson Drive West.,Fewer watermain breaks.,Sudbury,Northeast,81 Strathmere Court,P3E 2J8,Yes,Yes,Yes,,
